tweets,class
"look here by using these pictures youre proving @nick https://t.co/1r8xrfZBOe",Spam
"They left . all alone the big trampolini ... \':",Spam
"SAYS COLOR ME.",Spam
"RT @lunarnomad: Taylor Swift is a feminist yet cant grasp how race & gender intersect all while profiting from black culture http://t.co??",Spam
"Photographers and her fans make nice over photo contract revisions - http://t.co/dr29vAegAA",Spam
"@molliewayout she is so sexy https://t.co/LhOtolNB0q",Spam
"RT @LYEFRDS: literally the fucking captain of white feminism",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just amazing?? https://t.co/VE3Ayuz3IQ",Spam
"Taylor Swift 1989 Tour VIP Memorabilia Tickets- Full read by eBay http://t.co/oHS1adKy36 http://t.co/7Pq1vTTkMt",Spam
"RT @0l362: Watch Taylor Swift and Sam Hunts Steamy Take Your Time Duet | Sam Hunt http://t.co/r9Hkk2e5qw",Spam
"RT @LYSHREGUI: literally the fucking captain of white feminism",Spam
"Dressing-Like-Cher-From-Clueless http://t.co/wosloO0uQ5",Spam
"A little louder for the people in the back. https://t.co/XKRoRwnXdo",Spam
"#NOWPLAYING Tori Kelly-Should??ve Been Us. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"sipping this tea ?? ? https://t.co/bt3EEIWE85",Spam
"Taylor Swift Is Going To Sell Her Clothing Line In China And Her Fans Are Going Insane http://t.co/E6civwpXWr http://t.co/2aNm7NZuQ9",Spam
"a dont even like shit",Spam
"2ne1 ?? https://t.co/HHF7oUINJM",Spam
"RT @FemaleTexts: the fact that shes going that Hard to taylor swift just wow https://t.co/CchIBl5Yu5",Spam
" shit the fuck up lmao",Spam
"RT @sugarscape: This is not a drill: Taylor Swift is making a porn video http://t.co/mubcpbW1H42",Spam
"Lmfao I cant with this .. https://t.co/r4Myz2JaVh",Spam
"the way u tried extra Hard to make the black girl look bad A+ for effort  https://t.co/xcgc3R2Xo2",Spam
"RT @naomicxmpbell: How come u use a normal pic of taylor and use that picture of nicki .. ?? https://t.co/rRhfMewgay",Spam
"AMEN  https://t.co/SNEkg7FxWw",Spam
"RT @graciaramirez_: http://t.co/D9t1o4tPKa #Wattys2015 #MyWattysChoice @SUALM_LaAutora #VMAs2015  @taylorswift13 http://t.co/Bu??",Spam
"This is @BakerAislynn @AislynnBaker  https://t.co/vBZov4s37K",Spam
"at wonderworlddd ! lol with ayla , brianna , cHandler !",Spam
"http://t.co/FwplPgHX0U #imaginedragons #jenniferlopez #taylorswift #taiocruz #asHanti #mileycyrus #nirvana http://t.co/6lfEgsCGrE",Spam
"TRETA TRETA DAS GRANDES https://t.co/WOoKR48EMa",Spam
"#NOWPLAYING Zedd - Jon Bellion-Beautiful Now . Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just wow https://t.co/VE3Ayuz3IQ",Spam
"RT @chanelpuke: the fact that shes going that Hard to her just wow https://t.co/LY50ov4fvE",Spam
"RT @MusicBizSpy: #TeamCherLloyd QUEEN OF POP https://t.co/mof1jonKpA",Spam
"RT @Nasarfa: HaHaHaHaKiakiakiaa https://t.co/mfe9pfA9Mb",Spam
"#NowPlaying Begin Again - Taylor Swift #FreeRadio http://t.co/EZYFsrsD3F",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"#NOWPLAYING Katy Perry-This Is How We Do. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"Gente  https://t.co/AFFJxFDPMa",Spam
"Taylor Swift lidera la lista de nominados a los Premios MTV a los Videos Musicales http://t.co/gwAMx4UFx7 http://t.co/Ij4UvB4c0V",Spam
"Oh my?? https://t.co/X35skzecCo",Spam
"RT @patb3e: these picture choices, it??s not even subtle https://t.co/awDyHnbocA",Spam
"When will she shut the fuck up",Spam
"HaHaHaHaHaaHaHaHaHaHah T-RASH.",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"LMFAAAAAAAAAAAAOOOOOOOOOOOO https://t.co/S5txRK8dXd",Spam
"QUE https://t.co/eekWTZGTu3",Spam
"I am so done ?????? https://t.co/SafvEoPx8w",Spam
"#NOWPLAYING Sam Smith-Like I Can. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @Polaroid: Omfg Taylor Swift is such a bitch.",Spam
"look here by using these pictures youre proving @nick https://t.co/1r8xrfZBOe",Spam
"They left . all alone the big trampolini ... \':",Spam
"SAYS COLOR ME.",Spam
"RT @lunarnomad: Taylor Swift is a feminist yet cant grasp how race & gender intersect all while profiting from black culture http://t.co??",Spam
"Photographers and her fans make nice over photo contract revisions - http://t.co/dr29vAegAA",Spam
"@molliewayout she is so sexy https://t.co/LhOtolNB0q",Spam
"RT @LYEFRDS: literally the fucking captain of white feminism",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just amazing?? https://t.co/VE3Ayuz3IQ",Spam
"Taylor Swift 1989 Tour VIP Memorabilia Tickets- Full read by eBay http://t.co/oHS1adKy36 http://t.co/7Pq1vTTkMt",Spam
"RT @0l362: Watch Taylor Swift and Sam Hunts Steamy Take Your Time Duet | Sam Hunt http://t.co/r9Hkk2e5qw",Spam
"RT @LYSHREGUI: literally the fucking captain of white feminism",Spam
"Dressing-Like-Cher-From-Clueless http://t.co/wosloO0uQ5",Spam
"A little louder for the people in the back. https://t.co/XKRoRwnXdo",Spam
"#NOWPLAYING Tori Kelly-Should??ve Been Us. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"sipping this tea ?? ? https://t.co/bt3EEIWE85",Spam
"Taylor Swift Is Going To Sell Her Clothing Line In China And Her Fans Are Going Insane http://t.co/E6civwpXWr http://t.co/2aNm7NZuQ9",Spam
"a dont even like shit",Spam
"2ne1 ?? https://t.co/HHF7oUINJM",Spam
"RT @FemaleTexts: the fact that shes going that Hard to taylor swift just wow https://t.co/CchIBl5Yu5",Spam
" shit the fuck up lmao",Spam
"RT @sugarscape: This is not a drill: Taylor Swift is making a porn video http://t.co/mubcpbW1H42",Spam
"Lmfao I cant with this .. https://t.co/r4Myz2JaVh",Spam
"the way u tried extra Hard to make the black girl look bad A+ for effort  https://t.co/xcgc3R2Xo2",Spam
"RT @naomicxmpbell: How come u use a normal pic of taylor and use that picture of nicki .. ?? https://t.co/rRhfMewgay",Spam
"AMEN  https://t.co/SNEkg7FxWw",Spam
"RT @graciaramirez_: http://t.co/D9t1o4tPKa #Wattys2015 #MyWattysChoice @SUALM_LaAutora #VMAs2015  @taylorswift13 http://t.co/Bu??",Spam
"This is @BakerAislynn @AislynnBaker  https://t.co/vBZov4s37K",Spam
"at wonderworlddd ! lol with ayla , brianna , cHandler !",Spam
"http://t.co/FwplPgHX0U #imaginedragons #jenniferlopez #taylorswift #taiocruz #asHanti #mileycyrus #nirvana http://t.co/6lfEgsCGrE",Spam
"TRETA TRETA DAS GRANDES https://t.co/WOoKR48EMa",Spam
"#NOWPLAYING Zedd - Jon Bellion-Beautiful Now . Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just wow https://t.co/VE3Ayuz3IQ",Spam
"RT @chanelpuke: the fact that shes going that Hard to her just wow https://t.co/LY50ov4fvE",Spam
"RT @MusicBizSpy: #TeamCherLloyd QUEEN OF POP https://t.co/mof1jonKpA",Spam
"RT @Nasarfa: HaHaHaHaKiakiakiaa https://t.co/mfe9pfA9Mb",Spam
"#NowPlaying Begin Again - Taylor Swift #FreeRadio http://t.co/EZYFsrsD3F",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"#NOWPLAYING Katy Perry-This Is How We Do. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"Gente  https://t.co/AFFJxFDPMa",Spam
"Taylor Swift lidera la lista de nominados a los Premios MTV a los Videos Musicales http://t.co/gwAMx4UFx7 http://t.co/Ij4UvB4c0V",Spam
"Oh my?? https://t.co/X35skzecCo",Spam
"RT @patb3e: these picture choices, it??s not even subtle https://t.co/awDyHnbocA",Spam
"When will she shut the fuck up",Spam
"HaHaHaHaHaaHaHaHaHaHah T-RASH.",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"LMFAAAAAAAAAAAAOOOOOOOOOOOO https://t.co/S5txRK8dXd",Spam
"QUE https://t.co/eekWTZGTu3",Spam
"I am so done ?????? https://t.co/SafvEoPx8w",Spam
"#NOWPLAYING Sam Smith-Like I Can. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @Polaroid: Omfg Taylor Swift is such a bitch.",Spam
"look here by using these pictures youre proving @nick https://t.co/1r8xrfZBOe",Spam
"They left . all alone the big trampolini ... \':",Spam
"SAYS COLOR ME.",Spam
"RT @lunarnomad: Taylor Swift is a feminist yet cant grasp how race & gender intersect all while profiting from black culture http://t.co??",Spam
"Photographers and her fans make nice over photo contract revisions - http://t.co/dr29vAegAA",Spam
"@molliewayout she is so sexy https://t.co/LhOtolNB0q",Spam
"RT @LYEFRDS: literally the fucking captain of white feminism",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just amazing?? https://t.co/VE3Ayuz3IQ",Spam
"Taylor Swift 1989 Tour VIP Memorabilia Tickets- Full read by eBay http://t.co/oHS1adKy36 http://t.co/7Pq1vTTkMt",Spam
"RT @0l362: Watch Taylor Swift and Sam Hunts Steamy Take Your Time Duet | Sam Hunt http://t.co/r9Hkk2e5qw",Spam
"RT @LYSHREGUI: literally the fucking captain of white feminism",Spam
"Dressing-Like-Cher-From-Clueless http://t.co/wosloO0uQ5",Spam
"A little louder for the people in the back. https://t.co/XKRoRwnXdo",Spam
"#NOWPLAYING Tori Kelly-Should??ve Been Us. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"sipping this tea ?? ? https://t.co/bt3EEIWE85",Spam
"Taylor Swift Is Going To Sell Her Clothing Line In China And Her Fans Are Going Insane http://t.co/E6civwpXWr http://t.co/2aNm7NZuQ9",Spam
"a dont even like shit",Spam
"2ne1 ?? https://t.co/HHF7oUINJM",Spam
"RT @FemaleTexts: the fact that shes going that Hard to taylor swift just wow https://t.co/CchIBl5Yu5",Spam
" shit the fuck up lmao",Spam
"RT @sugarscape: This is not a drill: Taylor Swift is making a porn video http://t.co/mubcpbW1H42",Spam
"Lmfao I cant with this .. https://t.co/r4Myz2JaVh",Spam
"the way u tried extra Hard to make the black girl look bad A+ for effort  https://t.co/xcgc3R2Xo2",Spam
"RT @naomicxmpbell: How come u use a normal pic of taylor and use that picture of nicki .. ?? https://t.co/rRhfMewgay",Spam
"AMEN  https://t.co/SNEkg7FxWw",Spam
"RT @graciaramirez_: http://t.co/D9t1o4tPKa #Wattys2015 #MyWattysChoice @SUALM_LaAutora #VMAs2015  @taylorswift13 http://t.co/Bu??",Spam
"This is @BakerAislynn @AislynnBaker  https://t.co/vBZov4s37K",Spam
"at wonderworlddd ! lol with ayla , brianna , cHandler !",Spam
"http://t.co/FwplPgHX0U #imaginedragons #jenniferlopez #taylorswift #taiocruz #asHanti #mileycyrus #nirvana http://t.co/6lfEgsCGrE",Spam
"TRETA TRETA DAS GRANDES https://t.co/WOoKR48EMa",Spam
"#NOWPLAYING Zedd - Jon Bellion-Beautiful Now . Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just wow https://t.co/VE3Ayuz3IQ",Spam
"RT @chanelpuke: the fact that shes going that Hard to her just wow https://t.co/LY50ov4fvE",Spam
"RT @MusicBizSpy: #TeamCherLloyd QUEEN OF POP https://t.co/mof1jonKpA",Spam
"RT @Nasarfa: HaHaHaHaKiakiakiaa https://t.co/mfe9pfA9Mb",Spam
"#NowPlaying Begin Again - Taylor Swift #FreeRadio http://t.co/EZYFsrsD3F",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"#NOWPLAYING Katy Perry-This Is How We Do. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"Gente  https://t.co/AFFJxFDPMa",Spam
"Taylor Swift lidera la lista de nominados a los Premios MTV a los Videos Musicales http://t.co/gwAMx4UFx7 http://t.co/Ij4UvB4c0V",Spam
"Oh my?? https://t.co/X35skzecCo",Spam
"RT @patb3e: these picture choices, it??s not even subtle https://t.co/awDyHnbocA",Spam
"When will she shut the fuck up",Spam
"HaHaHaHaHaaHaHaHaHaHah T-RASH.",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"LMFAAAAAAAAAAAAOOOOOOOOOOOO https://t.co/S5txRK8dXd",Spam
"QUE https://t.co/eekWTZGTu3",Spam
"I am so done ?????? https://t.co/SafvEoPx8w",Spam
"#NOWPLAYING Sam Smith-Like I Can. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @Polaroid: Omfg Taylor Swift is such a bitch.",Spam
"look here by using these pictures youre proving @nick https://t.co/1r8xrfZBOe",Spam
"They left . all alone the big trampolini ... \':",Spam
"SAYS COLOR ME.",Spam
"RT @lunarnomad: Taylor Swift is a feminist yet cant grasp how race & gender intersect all while profiting from black culture http://t.co??",Spam
"Photographers and her fans make nice over photo contract revisions - http://t.co/dr29vAegAA",Spam
"@molliewayout she is so sexy https://t.co/LhOtolNB0q",Spam
"RT @LYEFRDS: literally the fucking captain of white feminism",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just amazing?? https://t.co/VE3Ayuz3IQ",Spam
"Taylor Swift 1989 Tour VIP Memorabilia Tickets- Full read by eBay http://t.co/oHS1adKy36 http://t.co/7Pq1vTTkMt",Spam
"RT @0l362: Watch Taylor Swift and Sam Hunts Steamy Take Your Time Duet | Sam Hunt http://t.co/r9Hkk2e5qw",Spam
"RT @LYSHREGUI: literally the fucking captain of white feminism",Spam
"Dressing-Like-Cher-From-Clueless http://t.co/wosloO0uQ5",Spam
"A little louder for the people in the back. https://t.co/XKRoRwnXdo",Spam
"#NOWPLAYING Tori Kelly-Should??ve Been Us. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"sipping this tea ?? ? https://t.co/bt3EEIWE85",Spam
"Taylor Swift Is Going To Sell Her Clothing Line In China And Her Fans Are Going Insane http://t.co/E6civwpXWr http://t.co/2aNm7NZuQ9",Spam
"a dont even like shit",Spam
"2ne1 ?? https://t.co/HHF7oUINJM",Spam
"RT @FemaleTexts: the fact that shes going that Hard to taylor swift just wow https://t.co/CchIBl5Yu5",Spam
" shit the fuck up lmao",Spam
"RT @sugarscape: This is not a drill: Taylor Swift is making a porn video http://t.co/mubcpbW1H42",Spam
"Lmfao I cant with this .. https://t.co/r4Myz2JaVh",Spam
"the way u tried extra Hard to make the black girl look bad A+ for effort  https://t.co/xcgc3R2Xo2",Spam
"RT @naomicxmpbell: How come u use a normal pic of taylor and use that picture of nicki .. ?? https://t.co/rRhfMewgay",Spam
"AMEN  https://t.co/SNEkg7FxWw",Spam
"RT @graciaramirez_: http://t.co/D9t1o4tPKa #Wattys2015 #MyWattysChoice @SUALM_LaAutora #VMAs2015  @taylorswift13 http://t.co/Bu??",Spam
"This is @BakerAislynn @AislynnBaker  https://t.co/vBZov4s37K",Spam
"at wonderworlddd ! lol with ayla , brianna , cHandler !",Spam
"http://t.co/FwplPgHX0U #imaginedragons #jenniferlopez #taylorswift #taiocruz #asHanti #mileycyrus #nirvana http://t.co/6lfEgsCGrE",Spam
"TRETA TRETA DAS GRANDES https://t.co/WOoKR48EMa",Spam
"#NOWPLAYING Zedd - Jon Bellion-Beautiful Now . Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"RT @WORLDSTARC0MEDY: the fact that shes going that Hard to taylor swift just wow https://t.co/VE3Ayuz3IQ",Spam
"RT @chanelpuke: the fact that shes going that Hard to her just wow https://t.co/LY50ov4fvE",Spam
"RT @MusicBizSpy: #TeamCherLloyd QUEEN OF POP https://t.co/mof1jonKpA",Spam
"RT @Nasarfa: HaHaHaHaKiakiakiaa https://t.co/mfe9pfA9Mb",Spam
"#NowPlaying Begin Again - Taylor Swift #FreeRadio http://t.co/EZYFsrsD3F",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"#NOWPLAYING Katy Perry-This Is How We Do. Text iPad to 313131 when you hear us play #TaylorSwift #BadBlood & possibly win an iPad!",Spam
"Gente  https://t.co/AFFJxFDPMa",Spam
"Taylor Swift lidera la lista de nominados a los Premios MTV a los Videos Musicales http://t.co/gwAMx4UFx7 http://t.co/Ij4UvB4c0V",Spam
"Oh my?? https://t.co/X35skzecCo",Spam
"RT @patb3e: these picture choices, it??s not even subtle https://t.co/awDyHnbocA",Spam
"When will she shut the fuck up",Spam
"HaHaHaHaHaHaHaHaHaHaHah T-RASH.",Spam
"RT @gima2327: Watch Taylor Swift and #Sam #Hunt http://t.co/UGR8kz1gUJ http://t.co/qoGZ8o063i",Spam
"LMFAAAAAAAAAAAAOOOOOOOOOOOO https://t.co/S5txRK8dXd",Spam
"QUE https://t.co/eekWTZGTu3",Spam
"I am so done ?????? https://t.co/SafvEoPx8w",Spam
